date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:45:29	13/13	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Apr%202024%2010:45:28%20GMT	https://www.bitewithzest.com/robots.txt		(from )
06:45:29	15290/15290	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Apr%202024%2010:45:28%20GMT	https://www.bitewithzest.com/	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/index.html	(from )
06:45:32	22199/22199	---M--	200	added ('OK')	image/png	etag:%2260f84b22-56b7%22	https://www.bitewithzest.com/static/img/favicon.png	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/img/favicon.png	(from https://www.bitewithzest.com/)
06:45:33	3414/3414	---MCZ	200	added ('OK')	text/css	etag:W/%2262b84655-d56%22	https://www.bitewithzest.com/static/css/style.css	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/css/style.css	(from https://www.bitewithzest.com/)
06:45:33	29511/29511	---MCZ	200	added ('OK')	text/css	etag:W/%226414f27c-7347%22	https://www.bitewithzest.com/static/css/responsive_desktop_big.css	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/css/responsive_desktop_big.css	(from https://www.bitewithzest.com/)
06:45:33	29880/29880	---MCZ	200	added ('OK')	text/css	etag:W/%226414f27c-74b8%22	https://www.bitewithzest.com/static/css/responsive_desktop.css	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/css/responsive_desktop.css	(from https://www.bitewithzest.com/)
06:45:33	29574/29574	---MCZ	200	added ('OK')	text/css	etag:W/%226414f27c-7386%22	https://www.bitewithzest.com/static/css/responsive_tablet.css	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/css/responsive_tablet.css	(from https://www.bitewithzest.com/)
06:45:34	30346/30346	---MCZ	200	added ('OK')	text/css	etag:W/%226414f27c-768a%22	https://www.bitewithzest.com/static/css/responsive_phone.css	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/css/responsive_phone.css	(from https://www.bitewithzest.com/)
06:45:36	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/elementor%20web/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.bitewithzest.com/)
06:45:37	166806/166806	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617f1323-28b96%22	https://www.bitewithzest.com/static/js/ga.js	C:/My%20Web%20Sites/elementor%20web/www.bitewithzest.com/static/js/ga.js	(from https://www.bitewithzest.com/)
